SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.007007,0.007007
0.018731,0.018731
0.023560,0.023560
0.015227,0.015227
0.028697,0.028697
0.043834,0.043834
0.034435,0.034435
0.039071,0.039071
0.026079,0.026079
0.048272,0.048272
0.058071,0.058071
0.004375,0.004375
0.024097,0.024097
0.017085,0.017085
0.027319,0.027319
0.021550,0.021550
0.005084,0.005084
0.064260,0.064260
0.062038,0.062038
0.000000,0.000000
0.016993,0.016993
0.019862,0.019862
0.036388,0.036388
0.021243,0.021243
0.069950,0.069950
0.062421,0.062421
0.054932,0.054932
0.030063,0.030063
0.016030,0.016030
0.000000,0.000000
0.031619,0.031619
0.028087,0.028087
0.022460,0.022460
0.051433,0.051433
0.060635,0.060635
0.040345,0.040345
0.013500,0.013500
0.017704,0.017704
0.028009,0.028009
0.049472,0.049472
0.035295,0.035295
0.014244,0.014244
0.029849,0.029849
0.058534,0.058534
0.043860,0.043860
0.009716,0.009716
0.028629,0.028629
0.031393,0.031393
0.060968,0.060968
0.071548,0.071548
0.024914,0.024914
0.027328,0.027328
0.000000,0.000000
0.029418,0.029418
0.013993,0.013993
0.000000,0.000000
0.048694,0.048694
0.047178,0.047178
0.008590,0.008590
0.045280,0.045280
0.041903,0.041903
0.017376,0.017376
0.024951,0.024951
0.050798,0.050798
0.063783,0.063783
0.029614,0.029614
0.056464,0.056464
0.078220,0.078220
0.037640,0.037640
0.033823,0.033823
0.036897,0.036897
0.042191,0.042191
0.015089,0.015089
0.067926,0.067926
0.020019,0.020019
0.018936,0.018936
0.024500,0.024500
0.043002,0.043002
0.049265,0.049265
0.017247,0.017247
0.033496,0.033496
0.026590,0.026590
0.021035,0.021035
0.036342,0.036342
0.062366,0.062366
0.056262,0.056262
0.020312,0.020312
0.068455,0.068455
0.038981,0.038981
0.021497,0.021497
0.057835,0.057835
0.019817,0.019817
0.000000,0.000000
0.055425,0.055425
0.018780,0.018780
0.045576,0.045576
0.008567,0.008567
0.000000,0.000000
0.017905,0.017905
0.065573,0.065573
0.040204,0.040204
0.023195,0.023195
0.037465,0.037465
0.000000,0.000000
0.044212,0.044212
0.027858,0.027858
0.043306,0.043306
0.025478,0.025478
0.042503,0.042503
0.031001,0.031001
0.013744,0.013744
0.054868,0.054868
0.037856,0.037856
0.058352,0.058352
0.053017,0.053017
0.024529,0.024529
0.054715,0.054715
0.051930,0.051930
0.028316,0.028316
0.010763,0.010763
0.052772,0.052772
0.044215,0.044215
0.000000,0.000000
0.009798,0.009798
0.001105,0.001105
0.036099,0.036099
0.061875,0.061875
0.000000,0.000000
0.073720,0.073720
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.014848,0.014848
0.058951,0.058951
0.054164,0.054164
0.008319,0.008319
0.001637,0.001637
0.000000,0.000000
0.012310,0.012310
0.000000,0.000000
0.000000,0.000000
0.014601,0.014601
0.000000,0.000000
0.029602,0.029602
0.005387,0.005387
0.000000,0.000000
0.054866,0.054866
0.076638,0.076638
0.069173,0.069173
0.010346,0.010346
0.087943,0.087943
0.017630,0.017630
0.000000,0.000000
0.000000,0.000000
0.066340,0.066340
0.006970,0.006970
0.012758,0.012758
0.041176,0.041176
0.012754,0.012754
0.000000,0.000000
0.075757,0.075757
0.008885,0.008885
0.000000,0.000000
0.006675,0.006675
0.007591,0.007591
0.014258,0.014258
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.034637,0.034637
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.038160,0.038160
0.000000,0.000000
0.004236,0.004236
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.046362,0.046362
0.007536,0.007536
0.009516,0.009516
0.067083,0.067083
0.009167,0.009167
0.025194,0.025194
0.062214,0.062214
0.000000,0.000000
0.000000,0.000000
0.066304,0.066304
0.076864,0.076864
0.000000,0.000000
0.051489,0.051489
0.002259,0.002259
0.075805,0.075805
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002013,0.002013
0.010173,0.010173
0.000000,0.000000
0.000000,0.000000
0.043477,0.043477
0.014959,0.014959
0.000000,0.000000
0.000000,0.000000
0.016909,0.016909
0.012013,0.012013
0.021309,0.021309
0.000000,0.000000
0.004754,0.004754
0.000000,0.000000
0.017703,0.017703
0.022235,0.022235
0.051524,0.051524
0.000000,0.000000
0.002542,0.002542
0.000000,0.000000
0.000186,0.000186
0.000000,0.000000
0.000000,0.000000
0.061711,0.061711
0.000000,0.000000
0.000000,0.000000
0.025117,0.025117
0.000000,0.000000
0.000000,0.000000
0.012482,0.012482
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002433,0.002433
0.015174,0.015174
0.023999,0.023999
0.064895,0.064895
0.000991,0.000991
0.047660,0.047660
0.000000,0.000000
0.009600,0.009600
0.011743,0.011743
0.080643,0.080643
0.000000,0.000000
0.007013,0.007013
0.047384,0.047384
0.006511,0.006511
0.033168,0.033168
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.076106,0.076106
0.009879,0.009879
0.000000,0.000000
0.005254,0.005254
0.001363,0.001363
0.012879,0.012879
0.029594,0.029594
0.000000,0.000000
0.008913,0.008913
0.013873,0.013873
0.000000,0.000000
0.000000,0.000000
0.063508,0.063508
0.000000,0.000000
0.007050,0.007050
0.004735,0.004735
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
