SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.013887,0.013887
0.026035,0.026035
0.033728,0.033728
0.035531,0.035531
0.007869,0.007869
0.015771,0.015771
0.003367,0.003367
0.013654,0.013654
0.069611,0.069611
0.046130,0.046130
0.032255,0.032255
0.007719,0.007719
0.043778,0.043778
0.000097,0.000097
0.009514,0.009514
0.008776,0.008776
0.004084,0.004084
0.030222,0.030222
0.018346,0.018346
0.003170,0.003170
0.004418,0.004418
0.058161,0.058161
0.050876,0.050876
0.008094,0.008094
0.006868,0.006868
0.039384,0.039384
0.035237,0.035237
0.017222,0.017222
0.022626,0.022626
0.018769,0.018769
0.015833,0.015833
0.044503,0.044503
0.065559,0.065559
0.008413,0.008413
0.001449,0.001449
0.039989,0.039989
0.025021,0.025021
0.041071,0.041071
0.015180,0.015180
0.003156,0.003156
0.066367,0.066367
0.039331,0.039331
0.039924,0.039924
0.018678,0.018678
0.038039,0.038039
0.016879,0.016879
0.038424,0.038424
0.022325,0.022325
0.057689,0.057689
0.001143,0.001143
0.002667,0.002667
0.016637,0.016637
0.041140,0.041140
0.009240,0.009240
0.043245,0.043245
0.000000,0.000000
0.056118,0.056118
0.025367,0.025367
0.033539,0.033539
0.064891,0.064891
0.049650,0.049650
0.041465,0.041465
0.001692,0.001692
0.051559,0.051559
0.003523,0.003523
0.048763,0.048763
0.000000,0.000000
0.023276,0.023276
0.000000,0.000000
0.000000,0.000000
0.034124,0.034124
0.072733,0.072733
0.007549,0.007549
0.089770,0.089770
0.024357,0.024357
0.012757,0.012757
0.047106,0.047106
0.031782,0.031782
0.043118,0.043118
0.020636,0.020636
0.032261,0.032261
0.015721,0.015721
0.000000,0.000000
0.025089,0.025089
0.026242,0.026242
0.062831,0.062831
0.037497,0.037497
0.022796,0.022796
0.066298,0.066298
0.026660,0.026660
0.032017,0.032017
0.042522,0.042522
0.012018,0.012018
0.025345,0.025345
0.011435,0.011435
0.063210,0.063210
0.040997,0.040997
0.047520,0.047520
0.057506,0.057506
0.063190,0.063190
0.051260,0.051260
0.058181,0.058181
0.071368,0.071368
0.000000,0.000000
0.049244,0.049244
0.066795,0.066795
0.000000,0.000000
0.011934,0.011934
0.051109,0.051109
0.037738,0.037738
0.008332,0.008332
0.063043,0.063043
0.021442,0.021442
0.061850,0.061850
0.034076,0.034076
0.028737,0.028737
0.028117,0.028117
0.023630,0.023630
0.026151,0.026151
0.053354,0.053354
0.040068,0.040068
0.031798,0.031798
0.000000,0.000000
0.039611,0.039611
0.000000,0.000000
0.002344,0.002344
0.003930,0.003930
0.022268,0.022268
0.004549,0.004549
0.033474,0.033474
0.028311,0.028311
0.000000,0.000000
0.012910,0.012910
0.004244,0.004244
0.029345,0.029345
0.000000,0.000000
0.039457,0.039457
0.030089,0.030089
0.049305,0.049305
0.029839,0.029839
0.000000,0.000000
0.035896,0.035896
0.050041,0.050041
0.053550,0.053550
0.051754,0.051754
0.061051,0.061051
0.011500,0.011500
0.002149,0.002149
0.000000,0.000000
0.056361,0.056361
0.036888,0.036888
0.047262,0.047262
0.000000,0.000000
0.000000,0.000000
0.043063,0.043063
0.040482,0.040482
0.052297,0.052297
0.041091,0.041091
0.012781,0.012781
0.047162,0.047162
0.000000,0.000000
0.034053,0.034053
0.017762,0.017762
0.008096,0.008096
0.008581,0.008581
0.060058,0.060058
0.017876,0.017876
0.023094,0.023094
0.019869,0.019869
0.027011,0.027011
0.069520,0.069520
0.000000,0.000000
0.046295,0.046295
0.071206,0.071206
0.028905,0.028905
0.060159,0.060159
0.056994,0.056994
0.035327,0.035327
0.052166,0.052166
0.035865,0.035865
0.055492,0.055492
0.036536,0.036536
0.000000,0.000000
0.071940,0.071940
0.066447,0.066447
0.044132,0.044132
0.048794,0.048794
0.069758,0.069758
0.011732,0.011732
0.036355,0.036355
0.037587,0.037587
0.049862,0.049862
0.030608,0.030608
0.000000,0.000000
0.000000,0.000000
0.065307,0.065307
0.022112,0.022112
0.021161,0.021161
0.043303,0.043303
0.020146,0.020146
0.057974,0.057974
0.005529,0.005529
