Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.435641,0.002330,0.063710,0.009948,0.024110,0.022136,0.000000,0.063156,0.027472,0.009929,0.161390,0.027259,0.008477,0.005623,0.000000,0.010101,0,1,1,1,1,1,1
0.434147,0.005112,0.074659,0.009288,0.012806,0.026188,0.000000,0.063228,0.022664,0.008477,0.164302,0.030789,0.000000,0.005657,0.000000,0.010977,0,1,1,2,1,2,2
0.322427,0.006442,0.084764,0.014334,0.000013,0.022272,0.000000,0.056404,0.000000,0.009996,0.082634,0.032216,0.000000,0.002222,0.000000,0.011130,0,1,1,1,1,1,1
0.425144,0.007192,0.081200,0.010896,0.000564,0.028492,0.000000,0.053694,0.030623,0.010823,0.158341,0.029985,0.000000,0.005607,0.000000,0.007727,0,1,1,1,1,2,2
0.530358,0.005875,0.091417,0.011712,0.107168,0.024029,0.000000,0.050362,0.020811,0.009932,0.159501,0.031941,0.000000,0.004987,0.000000,0.012623,0,2,2,2,2,2,2
0.453008,0.003666,0.098781,0.011379,0.105398,0.020589,0.000000,0.047116,0.000000,0.011332,0.087471,0.039926,0.011401,0.006858,0.000000,0.009091,0,2,2,3,1,2,2
0.428102,0.008122,0.076121,0.013451,0.021552,0.030986,0.000000,0.043570,0.033882,0.011401,0.137884,0.024790,0.009199,0.006207,0.000000,0.010937,0,1,1,1,1,2,2
0.430882,0.002796,0.087161,0.007033,0.014891,0.027595,0.000000,0.045712,0.017105,0.009199,0.179049,0.028875,0.000000,0.001410,0.000000,0.010056,0,1,1,2,1,2,2
0.355839,0.006607,0.102301,0.008538,0.000579,0.023315,0.000000,0.055484,0.000000,0.011975,0.088671,0.032710,0.009500,0.005008,0.000000,0.011151,0,1,1,2,1,1,1
0.409004,0.002566,0.060198,0.008236,0.019248,0.027230,0.000000,0.056711,0.023570,0.009500,0.148876,0.026145,0.009650,0.006229,0.000000,0.010845,0,0,1,1,1,1,1
0.412780,0.008265,0.064218,0.011252,0.003549,0.027550,0.000000,0.046809,0.022474,0.009650,0.166045,0.027969,0.008123,0.006469,0.000000,0.010407,0,0,1,1,1,2,2
