Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.034955,0.034955
0.000000,0.000000
0.010352,0.010352
0.003870,0.003870
0.000000,0.000000
0.021605,0.021605
0.007896,0.007896
0.002797,0.002797
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.039959,0.039959
0.000517,0.000517
0.052154,0.052154
0.046942,0.046942
0.037681,0.037681
0.008948,0.008948
0.000000,0.000000
0.000000,0.000000
0.014999,0.014999
0.037309,0.037309
0.028545,0.028545
0.000000,0.000000
0.000000,0.000000
0.000323,0.000323
0.022858,0.022858
0.013908,0.013908
0.004121,0.004121
0.002721,0.002721
0.000000,0.000000
0.010033,0.010033
0.045465,0.045465
0.010476,0.010476
0.037047,0.037047
0.009296,0.009296
0.019410,0.019410
0.000000,0.000000
0.024383,0.024383
0.003136,0.003136
0.023026,0.023026
0.035351,0.035351
0.019079,0.019079
0.000000,0.000000
0.047645,0.047645
0.000000,0.000000
0.004486,0.004486
0.021158,0.021158
0.026620,0.026620
0.000000,0.000000
0.005679,0.005679
0.000000,0.000000
0.000000,0.000000
0.018034,0.018034
0.000000,0.000000
0.000000,0.000000
0.002549,0.002549
0.000175,0.000175
0.002217,0.002217
0.043199,0.043199
0.000937,0.000937
0.000000,0.000000
0.002883,0.002883
0.000000,0.000000
0.024710,0.024710
0.011622,0.011622
0.016589,0.016589
0.026142,0.026142
0.013943,0.013943
0.014352,0.014352
0.000000,0.000000
0.009150,0.009150
0.000000,0.000000
0.034660,0.034660
0.058538,0.058538
0.027157,0.027157
0.008995,0.008995
0.019767,0.019767
0.033021,0.033021
0.000000,0.000000
0.024381,0.024381
0.016503,0.016503
0.000000,0.000000
0.000000,0.000000
0.009903,0.009903
0.002411,0.002411
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.041633,0.041633
0.029397,0.029397
0.017646,0.017646
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.042772,0.042772
0.029305,0.029305
0.082499,0.082499
0.000000,0.000000
0.000000,0.000000
0.029936,0.029936
0.000000,0.000000
0.008109,0.008109
0.028659,0.028659
0.011318,0.011318
0.008638,0.008638
0.000000,0.000000
0.001412,0.001412
0.000000,0.000000
0.000000,0.000000
0.010317,0.010317
0.001052,0.001052
0.029439,0.029439
0.003402,0.003402
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.018188,0.018188
0.000000,0.000000
0.011952,0.011952
0.000000,0.000000
0.014902,0.014902
0.000000,0.000000
0.000000,0.000000
0.019775,0.019775
0.038372,0.038372
0.033750,0.033750
0.003989,0.003989
0.006336,0.006336
0.011447,0.011447
0.000000,0.000000
0.000000,0.000000
0.006992,0.006992
0.000000,0.000000
0.005166,0.005166
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002543,0.002543
0.017020,0.017020
0.000000,0.000000
0.025001,0.025001
0.000000,0.000000
0.000000,0.000000
0.009601,0.009601
0.007609,0.007609
0.000000,0.000000
0.009962,0.009962
0.000000,0.000000
0.000000,0.000000
0.012038,0.012038
0.007619,0.007619
0.003745,0.003745
0.000000,0.000000
0.000000,0.000000
0.071666,0.071666
0.000000,0.000000
0.029409,0.029409
0.000000,0.000000
0.000000,0.000000
0.029090,0.029090
0.000000,0.000000
0.000000,0.000000
0.004757,0.004757
0.010673,0.010673
0.009684,0.009684
0.000000,0.000000
0.006750,0.006750
0.000000,0.000000
0.009542,0.009542
0.000000,0.000000
0.046980,0.046980
0.004014,0.004014
0.000000,0.000000
0.034994,0.034994
0.028904,0.028904
0.000000,0.000000
0.000000,0.000000
0.003499,0.003499
0.000000,0.000000
0.013694,0.013694
0.014916,0.014916
0.004390,0.004390
0.004015,0.004015
0.000000,0.000000
0.020169,0.020169
0.003373,0.003373
0.048060,0.048060
0.000000,0.000000
0.010424,0.010424
0.000000,0.000000
0.021412,0.021412
0.000000,0.000000
0.003155,0.003155
0.011564,0.011564
